ranking,name,undergradpop
406,st-bonaventure-university,1586
407,lake-forest-college,1487
408,beloit-college,1346
409,washington--and--jefferson-college,1398
410,eastern-mennonite-university,942
411,suny-maritime-college,1581
412,cuny-city-college-of-new-york,10225
413,earlham-college,1051
414,university-of-nebraska-at-kearney,4063
415,western-washington-university,13728
416,quinnipiac-university,6959
417,university-of-north-alabama,5141
418,simmons-college,1553
419,albion-college,1554
420,bellarmine-university,2410
421,salisbury-university,7191
422,roanoke-college,1973
423,university-of-st-francis---illinois,1291
424,ursinus-college,1489
425,university-of-south-florida---st-petersburg,2845
426,towson-university,17106
427,westminster-college---utah,1906
428,sarah-lawrence-college,1384
429,otterbein-university,2294
430,university-of-wisconsin---whitewater,9830
431,illinois-college,950
432,fashion-institute-of-design--and--merchandising---los-angeles,2113
433,birmingham-southern-college,1272
434,california-baptist-university,6367
435,arizona-state-university---west-campus,3078
436,saint-marys-college-of-california,2614
437,monmouth-university,4502
438,alfred-university,1600
439,murray-state-university,6584
440,eastern-illinois-university,4319
441,drew-university,1475
442,georgia-state-university,19882
443,montana-technological-university,1529
444,william-jessup-university,987
445,suny-geneseo,5452
446,university-of-wisconsin---milwaukee,17076
447,milligan-college,764
448,adventhealth-university,575
449,suny-new-paltz,6235
450,florida-a-and-m-university,6875
451,berry-college,1945
452,university-of-nebraska-at-omaha,9820
453,spalding-university,916
454,xavier-university-of-louisiana,2155
455,university-of-wisconsin---stevens-point,7224
456,mills-college,729
457,carroll-college,1287
458,massachusetts-college-of-pharmacy--and--health-sciences,3624
459,university-of-massachusetts---boston,9574
460,university-of-new-hampshire-at-manchester,575
461,transylvania-university,963
462,abilene-christian-university,3508
463,george-fox-university,2494
464,wheaton-college---massachusetts,1675
465,brigham-young-university---hawaii,2702
466,university-of-mary-washington,3905
467,wilkes-university,2233
468,lipscomb-university,2723
469,university-of-minnesota-duluth,8906
470,jacksonville-university,2180
471,university-of-north-carolina---greensboro,14136
472,presbyterian-college,975
473,university-of-baltimore,1716
474,university-of-redlands,2518
475,montana-state-university,12403
476,johnson-university,690
477,saint-edwards-university,2538
478,university-of-minnesota---crookston,1195
479,stetson-university,3028
480,hampden-sydney-college,1039
481,florida-gulf-coast-university,10973
482,washington-college,1456
483,south-dakota-state-university,8425
484,lancaster-bible-college---capital-seminary--and--graduate-school,890
485,grand-valley-state-university,19373
486,maine-maritime-academy,989
487,hollins-university,632
488,lycoming-college,1199
489,embry-riddle-aeronautical-university---worldwide,2574
490,indiana-university-purdue-university---indianapolis-iupui,17521
491,the-college-of-idaho,896
492,california-institute-of-the-arts,959
493,molloy-college,2800
494,western-illinois-university,6668
495,la-salle-university,3322
496,concordia-university---nebraska,1231
497,university-of-texas---arlington,17819
498,saint-johns-university---minnesota,1703
499,fresno-pacific-university,2342
500,stockton-university,7809
